,From,From_ID,Long,Lat,Place_ID,To,Year,Count
1,Accra,1,-0.1869644,5.6037168,,"Bahia, port unspecified",1811,1
2,Accra,1,-0.1869644,5.6037168,,,1800,1
3,Accra,1,-0.1869644,5.6037168,,,1799,1
4,Accra,1,-0.1869644,5.6037168,,"Barbados, port unspecified",1674,1
5,Accra,1,-0.1869644,5.6037168,,Havana,1805,1
6,Accra,1,-0.1869644,5.6037168,,Kingston,1710,1
7,Accra,1,-0.1869644,5.6037168,,Cap Francais,1784,1
8,Accra,1,-0.1869644,5.6037168,,,1796,1
9,Accra,1,-0.1869644,5.6037168,,Kingston,1808,1
10,Accra,1,-0.1869644,5.6037168,,"Pernambuco, port unspecified",1643,1
11,Accra,1,-0.1869644,5.6037168,,Leogane,1790,1
12,Accra,1,-0.1869644,5.6037168,,Havana,1821,1
13,Accra,1,-0.1869644,5.6037168,,"Martinique, port unspecified",1749,1
14,Accra,1,-0.1869644,5.6037168,,Leogane,1788,1
15,Accra,1,-0.1869644,5.6037168,,Kingston,1808,1
16,Accra,1,-0.1869644,5.6037168,,Kingston,1804,1
17,Accra,1,-0.1869644,5.6037168,,"Barbados, port unspecified",1674,1
18,Accra,1,-0.1869644,5.6037168,,Cap Francais,1786,1
19,Accra,1,-0.1869644,5.6037168,,Cap Francais,1790,1
20,Accra,1,-0.1869644,5.6037168,,Suriname,1799,1
21,Accra,1,-0.1869644,5.6037168,,Buenos Aires,1718,1
22,Accra,1,-0.1869644,5.6037168,,"Martinique, port unspecified",1714,1
23,Accra,1,-0.1869644,5.6037168,,Cap Francais,1785,1
24,Accra,1,-0.1869644,5.6037168,,Montevideo,1806,1
25,Accra,1,-0.1869644,5.6037168,,Kingston,1806,1
26,Accra,1,-0.1869644,5.6037168,,Demerara,1801,1
27,Accra,1,-0.1869644,5.6037168,,Port-au-Prince,1772,1
28,Accra,1,-0.1869644,5.6037168,,Newcastle (Nevis),1680,1
29,Accra,1,-0.1869644,5.6037168,,Havana,1802,1
30,Accra,1,-0.1869644,5.6037168,,,1798,1
31,Accra,1,-0.1869644,5.6037168,,"Jamaica, port unspecified",1693,1
32,Accra,1,-0.1869644,5.6037168,,"Bahia, port unspecified",1809,1
33,Accra,1,-0.1869644,5.6037168,,,1799,1
34,Accra,1,-0.1869644,5.6037168,,"Barbados, port unspecified",1693,1
35,Accra,1,-0.1869644,5.6037168,,Suriname,1796,1
36,Accra,1,-0.1869644,5.6037168,,Cap Francais,1785,1
37,Accra,1,-0.1869644,5.6037168,,,1795,1
38,Accra,1,-0.1869644,5.6037168,,,1799,1
39,Accra,1,-0.1869644,5.6037168,,"Americas, port unspecified",1725,1
40,Accra,1,-0.1869644,5.6037168,,Saint-Marc,1766,1
41,Accra,1,-0.1869644,5.6037168,,,1749,1
42,Accra,1,-0.1869644,5.6037168,,Demerara,1806,1
43,Accra,1,-0.1869644,5.6037168,,Montego Bay,1777,1
44,Accra,1,-0.1869644,5.6037168,,Demerara,1805,1
45,Accra,1,-0.1869644,5.6037168,,"Bahia, port unspecified",1815,1
46,Accra,1,-0.1869644,5.6037168,,Curacao,1707,1
47,Accra,1,-0.1869644,5.6037168,,Montevideo,1806,1
48,Accra,1,-0.1869644,5.6037168,,Curacao,1728,1
49,Accra,1,-0.1869644,5.6037168,,Leogane,1740,1
50,Accra,1,-0.1869644,5.6037168,,Essequibo,1715,1
51,Accra,1,-0.1869644,5.6037168,,"Martinique, port unspecified",1751,1
52,Accra,1,-0.1869644,5.6037168,,Suriname,1807,1
53,Accra,1,-0.1869644,5.6037168,,Cap Francais,1771,1
54,Accra,1,-0.1869644,5.6037168,,"Jamaica, port unspecified",1776,1
55,Accra,1,-0.1869644,5.6037168,,Demerara,1800,1
56,Accra,1,-0.1869644,5.6037168,,Curacao,1706,1
57,Accra,1,-0.1869644,5.6037168,,,1796,1
58,Accra,1,-0.1869644,5.6037168,,Leogane,1752,1
59,Accra,1,-0.1869644,5.6037168,,Demerara,1807,1
60,Accra,1,-0.1869644,5.6037168,,Zion Hill,1796,1
61,Accra,1,-0.1869644,5.6037168,,Cap Francais,1787,1
62,Accra,1,-0.1869644,5.6037168,,Demerara,1805,1
63,Ambriz,3,13.1192563,-7.863084,,Buenos Aires,1828,1
64,Ambriz,3,13.1192563,-7.863084,,Kingston,1797,1
65,Ambriz,3,13.1192563,-7.863084,,St. Helena,1841,1
66,Ambriz,3,13.1192563,-7.863084,,Freetown,1857,1
67,Ambriz,3,13.1192563,-7.863084,,"Grenada, port unspecified",1792,1
68,Ambriz,3,13.1192563,-7.863084,,"Cuba, south coast",1858,1
69,Ambriz,3,13.1192563,-7.863084,,Havana,1795,1
70,Ambriz,3,13.1192563,-7.863084,,Macae,1845,1
71,Ambriz,3,13.1192563,-7.863084,,"Dominica, port unspecified",1788,1
72,Ambriz,3,13.1192563,-7.863084,,Rio de Janeiro,1848,1
73,Ambriz,3,13.1192563,-7.863084,,Rio de Janeiro,1828,1
74,Ambriz,3,13.1192563,-7.863084,,"Dominica, port unspecified",1796,1
75,Ambriz,3,13.1192563,-7.863084,,Rio de Janeiro,1824,1
76,Ambriz,3,13.1192563,-7.863084,,"Bahia, port unspecified",1828,1
77,Ambriz,3,13.1192563,-7.863084,,Rio de Janeiro,1828,1
78,Ambriz,3,13.1192563,-7.863084,,Havana,1795,1
79,Ambriz,3,13.1192563,-7.863084,,Rio de Janeiro,1826,1
80,Ambriz,3,13.1192563,-7.863084,,,1846,1
81,Ambriz,3,13.1192563,-7.863084,,"Bahia, port unspecified",1825,1
82,Ambriz,3,13.1192563,-7.863084,,St. Helena,1850,1
83,Ambriz,3,13.1192563,-7.863084,,"Dominica, port unspecified",1789,1
84,Ambriz,3,13.1192563,-7.863084,,Cabo Frio,1848,1
85,Ambriz,3,13.1192563,-7.863084,,St. Helena,1841,1
86,Ambriz,3,13.1192563,-7.863084,,"Dominica, port unspecified",1787,1
87,Ambriz,3,13.1192563,-7.863084,,Rio de Janeiro,1827,1
88,Ambriz,3,13.1192563,-7.863084,,Rio de Janeiro,1833,1
89,Ambriz,3,13.1192563,-7.863084,,Kingston,1795,1
90,Ambriz,3,13.1192563,-7.863084,,"Tortola, port unspecified",1796,1
91,Ambriz,3,13.1192563,-7.863084,,Havana,1828,1
92,Ambriz,3,13.1192563,-7.863084,,Havana,1820,1
93,Ambriz,3,13.1192563,-7.863084,,Rio de Janeiro,1830,1
94,Ambriz,3,13.1192563,-7.863084,,Port-au-Prince,1787,1
