From_ID,From,To_ID,To,Year,Count
88,Congo River,173,Lisbon,1516,1
75,Cape Verde Islands,199,Monte Christi,1560,1
75,Cape Verde Islands,80,Cartagena,1562,1
290,"Sierra Leone, port unspecified",80,Cartagena,1564,1
290,"Sierra Leone, port unspecified",261,Rio de la Hacha,1568,6
75,Cape Verde Islands,189,Margarita,1569,1
75,Cape Verde Islands,80,Cartagena,1570,1
75,Cape Verde Islands,142,Havana,1572,1
75,Cape Verde Islands,80,Cartagena,1573,1
75,Cape Verde Islands,80,Cartagena,1574,1
75,Cape Verde Islands,80,Cartagena,1575,2
75,Cape Verde Islands,80,Cartagena,1576,1
75,Cape Verde Islands,80,Cartagena,1577,1
75,Cape Verde Islands,80,Cartagena,1583,1
75,Cape Verde Islands,189,Margarita,1583,2
75,Cape Verde Islands,80,Cartagena,1585,1
248,Portuguese Guinea,80,Cartagena,1585,3
75,Cape Verde Islands,80,Cartagena,1586,3
75,Cape Verde Islands,80,Cartagena,1587,2
248,Portuguese Guinea,80,Cartagena,1587,3
75,Cape Verde Islands,80,Cartagena,1588,1
329,"West Central Africa and St. Helena, port unspecified",80,Cartagena,1588,1
286,"Senegambia and offshore Atlantic, port unspecified",80,Cartagena,1588,3
248,Portuguese Guinea,80,Cartagena,1588,5
286,"Senegambia and offshore Atlantic, port unspecified",189,Margarita,1588,1
75,Cape Verde Islands,75,Cape Verde Islands,1589,1
75,Cape Verde Islands,80,Cartagena,1589,3
286,"Senegambia and offshore Atlantic, port unspecified",80,Cartagena,1589,2
329,"West Central Africa and St. Helena, port unspecified",80,Cartagena,1589,1
248,Portuguese Guinea,80,Cartagena,1589,5
329,"West Central Africa and St. Helena, port unspecified",80,Cartagena,1590,1
286,"Senegambia and offshore Atlantic, port unspecified",80,Cartagena,1590,1
248,Portuguese Guinea,80,Cartagena,1590,6
75,Cape Verde Islands,80,Cartagena,1590,1
75,Cape Verde Islands,142,Havana,1590,1
75,Cape Verde Islands,80,Cartagena,1591,2
329,"West Central Africa and St. Helena, port unspecified",80,Cartagena,1591,1
286,"Senegambia and offshore Atlantic, port unspecified",80,Cartagena,1591,1
248,Portuguese Guinea,80,Cartagena,1591,1
329,"West Central Africa and St. Helena, port unspecified",80,Cartagena,1592,1
286,"Senegambia and offshore Atlantic, port unspecified",80,Cartagena,1592,2
329,"West Central Africa and St. Helena, port unspecified",80,Cartagena,1593,3
75,Cape Verde Islands,80,Cartagena,1593,7
286,"Senegambia and offshore Atlantic, port unspecified",80,Cartagena,1593,3
248,Portuguese Guinea,80,Cartagena,1593,8
75,Cape Verde Islands,80,Cartagena,1594,4
329,"West Central Africa and St. Helena, port unspecified",80,Cartagena,1594,3
